fecha,hora,valor,codigo_fase
2021-11-08,07:26:00,7.26,1
2021-11-08,07:26:00,7.26,2
2021-11-08,07:34:00,7.34,2
2021-11-08,07:34:00,7.34,3
2021-11-08,07:35:00,7.35,1
2021-11-08,07:35:00,7.35,3
2021-11-08,07:36:00,7.36,1
2021-11-08,07:36:00,7.36,3
2021-11-08,08:10:00,8.1,1
2021-11-08,08:10:00,8.1,3
2021-11-08,08:11:00,8.11,1
2021-11-08,08:11:00,8.11,3
2021-11-08,08:18:00,8.18,1
2021-11-08,08:18:00,8.18,3
2021-11-08,08:19:00,8.19,1
2021-11-08,08:19:00,8.19,3
2021-11-08,08:25:00,8.25,1
2021-11-08,08:25:00,8.25,3
2021-11-08,08:26:00,8.26,1
2021-11-08,08:26:00,8.26,3
2021-11-08,08:41:00,8.41,1
2021-11-08,08:41:00,8.41,3
2021-11-08,08:43:00,8.43,1
2021-11-08,08:43:00,8.43,2
2021-11-08,08:53:00,8.53,1
2021-11-08,08:53:00,8.53,2
2021-11-08,08:56:00,8.56,1
2021-11-08,08:56:00,8.56,2
2021-11-08,09:03:00,9.03,1
2021-11-08,09:03:00,9.03,2
2021-11-08,09:08:00,9.08,1
2021-11-08,09:08:00,9.08,3
2021-11-08,09:16:00,9.16,1
2021-11-08,09:16:00,9.16,3
2021-11-08,09:17:00,9.17,1
2021-11-08,09:17:00,9.17,3
2021-11-08,09:37:00,9.37,2
2021-11-08,09:37:00,9.37,3
2021-11-08,09:43:00,9.43,1
2021-11-08,09:43:00,9.43,2
2021-11-08,09:46:00,9.46,1
2021-11-08,09:46:00,9.46,3
2021-11-08,09:47:00,9.47,1
2021-11-08,09:47:00,9.47,3
2021-11-08,09:51:00,9.51,1
2021-11-09,03:25:00,3.25,3
2021-11-09,03:34:00,3.34,1
2021-11-09,03:34:00,3.34,3
2021-11-09,03:35:00,3.35,1
2021-11-09,03:35:00,3.35,3
2021-11-09,03:36:00,3.36,1
2021-11-09,03:36:00,3.36,3
2021-11-09,03:37:00,3.37,1
2021-11-09,03:37:00,3.37,3
2021-11-09,03:53:00,3.53,1
2021-11-09,03:53:00,3.53,3
2021-11-09,03:54:00,3.54,1
2021-11-09,03:54:00,3.54,3
2021-11-09,03:56:00,3.56,1
2021-11-09,03:56:00,3.56,3
2021-11-09,03:57:00,3.57,1
2021-11-09,03:57:00,3.57,3
2021-11-09,04:00:00,4.0,2
2021-11-09,04:00:00,4.0,3
2021-11-09,04:14:00,4.14,2
2021-11-09,04:14:00,4.14,3
2021-11-09,04:17:00,4.17,1
2021-11-09,04:17:00,4.17,3
2021-11-09,04:18:00,4.18,1
2021-11-09,04:18:00,4.18,3
2021-11-09,04:22:00,4.22,1
2021-11-09,04:22:00,4.22,3
2021-11-09,04:23:00,4.23,1
2021-11-09,04:23:00,4.23,3
2021-11-09,04:24:00,4.24,3
2021-11-09,04:24:00,4.24,4
2021-11-09,04:39:00,4.39,3
2021-11-09,04:39:00,4.39,4
2021-11-09,04:45:00,4.45,1
2021-11-09,04:45:00,4.45,3
2021-11-09,04:46:00,4.46,1
2021-11-09,04:46:00,4.46,3
2021-11-09,04:47:00,4.47,1
2021-11-09,04:47:00,4.47,3
2021-11-09,04:48:00,4.48,1
2021-11-09,04:48:00,4.48,3
2021-11-09,04:53:00,4.53,3
2021-11-09,04:53:00,4.53,4
2021-11-09,05:02:00,5.02,3
2021-11-09,05:02:00,5.02,4
2021-11-09,05:16:00,5.16,2
2021-11-09,05:16:00,5.16,3
2021-11-09,05:21:00,5.21,2
2021-11-09,05:21:00,5.21,3
2021-11-09,05:45:00,5.45,2
2021-11-09,05:45:00,5.45,3
2021-11-09,05:53:00,5.53,1
2021-11-09,05:53:00,5.53,2
2021-11-09,05:54:00,5.54,1
2021-11-09,05:54:00,5.54,3
2021-11-09,05:55:00,5.55,1
2021-11-09,05:55:00,5.55,3
2021-11-09,05:56:00,5.56,1
2021-11-09,05:56:00,5.56,2
2021-11-09,06:05:00,6.05,2
2021-11-09,06:05:00,6.05,3
2021-11-09,06:06:00,6.06,1
2021-11-09,06:06:00,6.06,3
2021-11-09,06:07:00,6.07,1
2021-11-09,06:07:00,6.07,3
2021-11-09,06:13:00,6.13,1
2021-11-09,06:13:00,6.13,3
2021-11-09,06:14:00,6.14,1
2021-11-09,06:14:00,6.14,3
2021-11-09,06:33:00,6.33,1
2021-11-09,06:33:00,6.33,3
2021-11-09,06:34:00,6.34,1
2021-11-09,06:34:00,6.34,2
2021-11-09,07:06:00,7.06,1
2021-11-09,07:06:00,7.06,2
2021-11-09,07:07:00,7.07,1
2021-11-09,07:07:00,7.07,3
2021-11-09,07:31:00,7.31,1
2021-11-09,07:31:00,7.31,3
2021-11-09,07:33:00,7.33,1
2021-11-09,07:33:00,7.33,3
2021-11-09,07:34:00,7.34,1
2021-11-09,07:34:00,7.34,3
2021-11-09,07:36:00,7.36,1
2021-11-09,07:36:00,7.36,2
2021-11-09,07:45:00,7.45,2
2021-11-09,07:45:00,7.45,3
2021-11-09,08:11:00,8.11,2
2021-11-09,08:11:00,8.11,3
2021-11-09,08:20:00,8.2,1
2021-11-09,08:20:00,8.2,2
2021-11-09,08:21:00,8.21,1
2021-11-09,08:21:00,8.21,2
2021-11-09,08:27:00,8.27,1
2021-11-09,08:27:00,8.27,2
2021-11-09,08:28:00,8.28,1
2021-11-09,08:28:00,8.28,3
2021-11-09,08:29:00,8.29,1
2021-11-09,08:29:00,8.29,3
2021-11-09,08:42:00,8.42,1
2021-11-09,08:42:00,8.42,3
2021-11-09,08:43:00,8.43,1
2021-11-09,08:43:00,8.43,3
2021-11-09,08:47:00,8.47,1
2021-11-10,02:03:00,2.03,3
2021-11-10,02:05:00,2.05,3
2021-11-10,02:05:00,2.05,4
2021-11-10,02:20:00,2.2,3
2021-11-10,02:20:00,2.2,4
2021-11-10,02:35:00,2.35,3
2021-11-10,02:35:00,2.35,4
2021-11-10,02:38:00,2.38,3
2021-11-10,02:38:00,2.38,4
2021-11-10,02:39:00,2.39,3
2021-11-10,02:39:00,2.39,4
2021-11-10,02:44:00,2.44,3
2021-11-10,02:44:00,2.44,4
2021-11-10,02:48:00,2.48,3
2021-11-10,02:48:00,2.48,4
2021-11-10,02:59:00,2.59,3
